Date,Area,DataSeries,OBS_Value
2012-02-01,IT,Lead_zinc_tin_prod,81.1
2012-01-01,IT,Lead_zinc_tin_prod,77.5
2011-12-01,IT,Lead_zinc_tin_prod,84.3
2011-11-01,IT,Lead_zinc_tin_prod,83.3
2011-10-01,IT,Lead_zinc_tin_prod,89.4
2011-09-01,IT,Lead_zinc_tin_prod,87.7
2011-08-01,IT,Lead_zinc_tin_prod,81.1
2011-07-01,IT,Lead_zinc_tin_prod,91.5
2011-06-01,IT,Lead_zinc_tin_prod,86.4
2011-05-01,IT,Lead_zinc_tin_prod,86.3
2011-04-01,IT,Lead_zinc_tin_prod,89.3
2011-03-01,IT,Lead_zinc_tin_prod,88.5
2011-02-01,IT,Lead_zinc_tin_prod,77.8
2011-01-01,IT,Lead_zinc_tin_prod,87.5
2010-12-01,IT,Lead_zinc_tin_prod,82.6
2010-11-01,IT,Lead_zinc_tin_prod,85.3
2010-10-01,IT,Lead_zinc_tin_prod,87.3
2010-09-01,IT,Lead_zinc_tin_prod,82.8
2010-08-01,IT,Lead_zinc_tin_prod,70.7
2010-07-01,IT,Lead_zinc_tin_prod,87.0
2010-06-01,IT,Lead_zinc_tin_prod,89.7
2010-05-01,IT,Lead_zinc_tin_prod,88.9
2010-04-01,IT,Lead_zinc_tin_prod,86.7
2010-03-01,IT,Lead_zinc_tin_prod,86.9
2010-02-01,IT,Lead_zinc_tin_prod,78.7
2010-01-01,IT,Lead_zinc_tin_prod,84.3
2009-12-01,IT,Lead_zinc_tin_prod,82.8
2009-11-01,IT,Lead_zinc_tin_prod,83.6
2009-10-01,IT,Lead_zinc_tin_prod,83.6
2009-09-01,IT,Lead_zinc_tin_prod,83.4
2009-08-01,IT,Lead_zinc_tin_prod,80.8
2009-07-01,IT,Lead_zinc_tin_prod,84.2
2009-06-01,IT,Lead_zinc_tin_prod,82.9
2009-05-01,IT,Lead_zinc_tin_prod,114.7
2009-04-01,IT,Lead_zinc_tin_prod,142.7
2009-03-01,IT,Lead_zinc_tin_prod,142.7
2009-02-01,IT,Lead_zinc_tin_prod,138.8
2009-01-01,IT,Lead_zinc_tin_prod,147.3
2008-12-01,IT,Lead_zinc_tin_prod,132.9
2008-11-01,IT,Lead_zinc_tin_prod,140.1
2008-10-01,IT,Lead_zinc_tin_prod,130.9
2008-09-01,IT,Lead_zinc_tin_prod,122.2
2008-08-01,IT,Lead_zinc_tin_prod,78.0
2008-07-01,IT,Lead_zinc_tin_prod,146.0
2008-06-01,IT,Lead_zinc_tin_prod,133.7
2008-05-01,IT,Lead_zinc_tin_prod,138.6
2008-04-01,IT,Lead_zinc_tin_prod,146.3
2008-03-01,IT,Lead_zinc_tin_prod,154.4
2008-02-01,IT,Lead_zinc_tin_prod,140.3
2008-01-01,IT,Lead_zinc_tin_prod,172.5
2007-12-01,IT,Lead_zinc_tin_prod,160.0
2007-11-01,IT,Lead_zinc_tin_prod,189.0
2007-10-01,IT,Lead_zinc_tin_prod,89.6
