Date,Area,DataSeries,OBS_Value
2009-06-01,IT,Retail_Trade,95.5
2009-05-01,IT,Retail_Trade,95.4
2009-04-01,IT,Retail_Trade,97
2009-03-01,IT,Retail_Trade,90.9
2009-02-01,IT,Retail_Trade,85.7
2009-01-01,IT,Retail_Trade,86.7
2008-12-01,IT,Retail_Trade,141.9
2008-11-01,IT,Retail_Trade,100.8
2008-10-01,IT,Retail_Trade,97.8
2008-09-01,IT,Retail_Trade,97.1
2008-08-01,IT,Retail_Trade,96.9
2008-07-01,IT,Retail_Trade,100.2
2008-06-01,IT,Retail_Trade,95.3
2008-05-01,IT,Retail_Trade,95.9
2008-04-01,IT,Retail_Trade,94.5
2008-03-01,IT,Retail_Trade,94
2008-02-01,IT,Retail_Trade,88.5
2008-01-01,IT,Retail_Trade,84.3
2007-12-01,IT,Retail_Trade,146.5
2007-11-01,IT,Retail_Trade,100.6
2007-10-01,IT,Retail_Trade,98.1
2007-09-01,IT,Retail_Trade,95.4
2007-08-01,IT,Retail_Trade,96.5
2007-07-01,IT,Retail_Trade,96.5
2007-06-01,IT,Retail_Trade,95.4
2007-05-01,IT,Retail_Trade,90.7
2007-04-01,IT,Retail_Trade,91.2
2007-03-01,IT,Retail_Trade,92.6
2007-02-01,IT,Retail_Trade,82.3
2007-01-01,IT,Retail_Trade,83.4
2006-12-01,IT,Retail_Trade,140.7
2006-11-01,IT,Retail_Trade,96.6
2006-10-01,IT,Retail_Trade,96.1
2006-09-01,IT,Retail_Trade,94.9
2006-08-01,IT,Retail_Trade,91.5
2006-07-01,IT,Retail_Trade,96.4
2006-06-01,IT,Retail_Trade,91.1
2006-05-01,IT,Retail_Trade,87.3
2006-04-01,IT,Retail_Trade,91.7
2006-03-01,IT,Retail_Trade,87.1
2006-02-01,IT,Retail_Trade,81.3
2006-01-01,IT,Retail_Trade,81
2005-12-01,IT,Retail_Trade,139.9
2005-11-01,IT,Retail_Trade,91.5
2005-10-01,IT,Retail_Trade,94.9
2005-09-01,IT,Retail_Trade,92.5
2005-08-01,IT,Retail_Trade,88.4
2005-07-01,IT,Retail_Trade,93.5
2005-06-01,IT,Retail_Trade,89.1
2005-05-01,IT,Retail_Trade,85.3
2005-04-01,IT,Retail_Trade,90.2
2005-03-01,IT,Retail_Trade,88
2005-02-01,IT,Retail_Trade,79.1
2005-01-01,IT,Retail_Trade,80.6
